emotion	stimuli	response
Anger	e==enthusiasm	no
Anger	e==serenity	no
Anger	e==calm	no
Anger	e==gratefulness	no
Anger	e==frustration	no
Anger	e==happiness	no
Anger	e==awe	no
Anger	e==envy	no
Envy	e.valence==positive	No
Envy	e.valence==negative	Yes
Envy	e.duration==long	Maybe
Envy	cause(e,feelGood)	No
Envy	e.valence==neutral	No
Envy	e.activation==high	Yes
Envy	situation(e,doSomethingStupid)	No
Envy	situation(e,friendDied)	No
Envy	situation(e,sad)	No
Envy	e==regret	no
Envy	e==relief	no
Envy	e==bravery	no
Envy	e==enthusiasm	no
Envy	e==serenity	no
Envy	e==calm	no
Envy	e==gratefulness	no
Envy	e==frustration	no
Envy	e==happiness	no
Envy	e==awe	no
Envy	e==envy	yes
jealousy	e.valence==positive	No
jealousy	e.valence==negative	Yes
jealousy	e.duration==long	Maybe
jealousy	cause(e,feelGood)	No
jealousy	e.valence==neutral	No
jealousy	e.activation==high	Yes
jealousy	situation(e,doSomethingStupid)	No
jealousy	situation(e,friendDied)	No
jealousy	situation(e,sad)	No
jealousy	e==regret	no
jealousy	e==relief	no
jealousy	e==bravery	no
jealousy	e==enthusiasm	no
jealousy	e==serenity	no
jealousy	e==calm	no
jealousy	e==gratefulness	no
jealousy	e==frustration	no
jealousy	e==happiness	no
jealousy	e==awe	no
jealousy	e==jealousy	yes
Confusion	directed(e,otherPerson)	No
Confusion	e.activation==high	No
Confusion	directed(e,self)	No
Confusion	similar(e,surprise)	No
Confusion	e.frequency==regularly	No
Confusion	similar(e,love)	No
Confusion	similar(e,happiness)	No
Confusion	cause(emptySet,e)	No
Confusion	e.valence==positive	No
Confusion	situation(e,helpless)	No
Confusion	e==regret	no
Confusion	e==relief	no
Confusion	e==bravery	no
Confusion	e==enthusiasm	no
Confusion	e==serenity	no
Confusion	e==calm	no
Confusion	e==gratefulness	no
Confusion	e==frustration	no
Confusion	e==happiness	no
Confusion	e==awe	no
Confusion	e==envy	no
fear	e.duration==long	no
fear	e.valence==positive	no
fear	e.duration==long	no
fear	e.activation==high	yes
fear	cause(emptySet,e)	no
fear	directed(e,self)	no
fear	similar(e,love)	no
fear	similarity(e,red)>similarity(e,blue)	red
fear	situation(e,waitingInLine)	no
fear	e.valence==neutral	no
fear	necessary(directed(e,otherPerson))	maybe
fear	e==anger	no
fear	e==relief	no
fear	e==exasperated	no
fear	e==jealosy	no
fear	e==happiness	no
fear	e==anxiety	no
fear	e==adore	no
fear	e==glee	no
fear	e==depression	no
fear	e==surprise	no
fear	e==devastated	no
excitement	e.activation==high	yes
excitement	e.valence==positive	yes
excitement	directed(e,otherPerson)	no
excitement	situation(e,birthday)	yes
excitement	similar(e,surprise)	no
excitement	cause(e,feelGood)	yes
excitement	associated(e,happiness)	yes
excitement	similar(e,disappointment)	no
excitement	necessary(directed(e,otherPerson))	no
excitement	situation(e,helpless)	no
excitement	e==bravery	no
excitement	e==enthusiasm	no
excitement	e==thrill	no
excitement	e==hope	no
excitement	e==amusement	no
excitement	e==proud	no
excitement	e==serenity	no
excitement	e==melancholy	no
excitement	e==relief	no
excitement	e==envy	no
excitement	e==excitement	yes
confusion	e.duration==long	no
confusion	e.activation==high	no
confusion	e.frequency==regularly	no
confusion	similarity(e,red)>similarity(e,blue)	yes
confusion	situation(e,birthday)	no
confusion	similar(e,love)	yes
confusion	necessary(directed(e,otherPerson))	sometimes
confusion	cause(something,e)	yes
confusion	cause(otherPerson,e)	yes
confusion	unexpected(e)	yes
confusion	e==jealosy	no
confusion	e==frustration	no
confusion	e==happiness	no
confusion	e==love	no
confusion	e==shame	no
confusion	e==contempt	no
confusion	e==disgust	no
confusion	e==devastated	no
confusion	e==regret	no
confusion	e==relief	no
confusion	e==gratefulness	no
anger	directed(e,otherPerson)	yes
anger	e.valence==positive	no
anger	cause(emptySet,e)	no
anger	e.valence==negative	yes
anger	associated(e,happiness)	yes
anger	necessary(directed(e,otherPerson))	no
anger	e.valence==neutral	no
anger	similar(e,surprise)	no
anger	situation(e,disney)	no
anger	similar(e,disappointment)	no
anger	e==anger	yes
frustration	directed(e,otherPerson)	yes
frustration	e.duration==long	maybe
frustration	e.frequency==regularly	yes
frustration	e.valence==negative	yes
frustration	situation(e,birthday)	no
frustration	e.activation==high	depends
frustration	associated(e,happiness)	no
frustration	situation(e,waitingInLine)	yes
frustration	necessary(directed(e,otherPerson))	no
frustration	personalityTrait(e)	no
frustration	e==contempt	no
frustration	e==anger	no
frustration	e==frustration	yes
Anger	e.valence==positive	no
Anger	e.activation==high	yes
Anger	cause(emptySet,e)	yes
Anger	situation(e,birthday)	no
Anger	similar(e,surprise)	no
Anger	cause(something,e)	yes
Anger	similar(e,love)	no
Anger	similar(e,happiness)	no
Anger	e.valence==negative	yes
Anger	e.duration==short	no
Anger	e==anger	yes
happiness	e.duration==long	it can
happiness	e.valence==positive	yes
happiness	e.valence==negative	no
happiness	cause(e,feelGood)	yes
happiness	similar(e,happiness)	yes
happiness	cause(something,e)	maybe
happiness	situation(e,birthday)	yes
happiness	situation(e,friendDied)	no
happiness	directed(e,otherPerson)	you could
happiness	similar(e,anger)	no
happiness	e==excitement	no
happiness	e==thrill	no
happiness	e==hope	no
happiness	e==enthusiasm	no
happiness	e==serenity	no
happiness	e==adore	no
happiness	e==glee	no
happiness	e==admire	no
happiness	e==surprise	no
happiness	e==amusement	no
happiness	e==proud	no
Frustration	e.duration==long	Yes, but not necessarily
Frustration	e.activation==high	Yes
Frustration	e.frequency==regularly	Yes
Frustration	situation(e,birthday)	No
Frustration	e.valence==neutral	No
Frustration	similar(e,love)	Not necessarily
Frustration	similar(e,happiness)	No
Frustration	situation(e,someoneCloseDied)	No
Frustration	situation(e,friendDied)	No
Frustration	forSome(p)(p.incapableOfFeeling(e))	No
Frustration	e==regret	no
Frustration	e==relief	no
Frustration	e==bravery	no
Frustration	e==enthusiasm	no
Frustration	e==serenity	no
Frustration	e==calm	no
Frustration	e==gratefulness	no
Frustration	e==frustration	yes
love	directed(e,otherPerson)	yes
love	e.duration==long	yes
love	e.frequency==regularly	yes
love	situation(e,birthday)	possibly
love	e.valence==neutral	no
love	e.valence==negative	no
love	situation(e,friendDied)	no
love	similar(e,disappointment)	no
love	behavior(e,verbal)	could be both
love	forSome(p)(p.incapableOfFeeling(e))	yes
dissatisfied	e.valence==positive	no
dissatisfied	directed(e,otherPerson)	yes, it can
dissatisfied	cause(emptySet,e)	no
dissatisfied	e.valence==negative	yes
dissatisfied	situation(e,birthday)	no
dissatisfied	unexpected(e)	no
dissatisfied	e.duration==long	sometimes
dissatisfied	associated(e,happiness)	no
dissatisfied	situation(e,helpless)	no
dissatisfied	cause(e,benefit(otherPerson))	no
dissatisfied	e==anger	no
dissatisfied	e==exasperated	no
dissatisfied	e==boredom	no
dissatisfied	e==contempt	no
dissatisfied	e==confusion	no
dissatisfied	e==relief	no
dissatisfied	e==serenity	no
dissatisfied	e==frustration	no
dissatisfied	e==anxiety	no
dissatisfied	e==jealosy	no
dissatisfied	e==depression	no
jilted	e.duration==long	no
jilted	directed(e,otherPerson)	no, but it can be caused by another person
jilted	e.frequency==regularly	no
jilted	similarity(e,red)>similarity(e,blue)	no
jilted	associated(e,happiness)	no
jilted	situation(e,waitingInLine)	no
jilted	cause(otherPerson,e)	yes
jilted	situation(e,birthday)	no, unless say noone came to the party
jilted	e.valence==negative	yes
jilted	similar(e,surprise)	slightly
jilted	e==relief	no
jilted	e==exasperated	no
jilted	e==jealosy	no
jilted	e==contempt	no
jilted	e==devastated	no
jilted	e==regret	no
jilted	e==bravery	no
jilted	e==enthusiasm	no
jilted	e==serenity	no
jilted	e==gratefulness	no
jilted	e==frustration	no
surprise	e.duration==long	no
surprise	e.valence==positive	may be
surprise	directed(e,self)	may be
surprise	directed(e,otherPerson)	yes
surprise	e.frequency==regularly	ni
surprise	similar(e,happiness)	no
surprise	e.activation==high	yes
surprise	similar(e,love)	yes
surprise	situation(e,someoneCloseDied)	no
surprise	cause(e,benefit(otherPerson))	may be
surprise	e==adore	no
surprise	e==love	no
surprise	e==jealosy	no
surprise	e==surprise	yes
Lust	directed(e,otherPerson)	yes
Lust	e.valence==positive	depends
Lust	e.activation==high	yes
Lust	cause(emptySet,e)	spontaneously
Lust	situation(e,waitingInLine)	no
Lust	unexpected(e)	no
Lust	e.valence==negative	no
Lust	situation(e,someoneCloseDied)	no
Lust	similar(e,happiness)	yes
Lust	similar(e,stressedOut)	no
Lust	e==happiness	no
Lust	e==awe	no
Lust	e==excitement	no
Lust	e==love	no
Lust	e==adore	no
Lust	e==glee	no
Lust	e==jealosy	no
Lust	e==surprise	no
Lust	e==anger	no
Lust	e==relief	no
Lust	e==regret	no
relaxation	e.valence==positive	yes
relaxation	e.activation==high	no
relaxation	directed(e,self)	yes
relaxation	e.duration==long	yes
relaxation	situation(e,birthday)	maybe
relaxation	similar(e,love)	no
relaxation	associated(e,happiness)	yes
relaxation	e.frequency==regularly	not necessarily
relaxation	situation(e,waitingInLine)	no
relaxation	similar(e,stressedOut)	no
relaxation	e==hope	no
relaxation	e==serenity	yes
Happiness	e.valence==positive	Happiness
Happiness	e.activation==high	no
Happiness	e.duration==long	yes
Happiness	cause(e,feelGood)	yes
Happiness	associated(e,happiness)	yes
Happiness	directed(e,otherPerson)	no
Happiness	similar(e,love)	sometimes
Happiness	e.valence==neutral	no
Happiness	similar(e,anger)	no
Happiness	situation(e,doSomethingStupid)	no
Happiness	e==boredom	no
Happiness	e==hope	no
Happiness	e==serenity	no
Happiness	e==calm	no
Happiness	e==happiness	yes
cheerfulness	directed(e,otherPerson)	possibly
cheerfulness	e.valence==positive	yes
cheerfulness	cause(emptySet,e)	yes
cheerfulness	similar(e,surprise)	no
cheerfulness	e.valence==neutral	no
cheerfulness	e.activation==high	yes
cheerfulness	situation(e,birthday)	possibly
cheerfulness	e.frequency==regularly	no
cheerfulness	personalityTrait(e)	yes
cheerfulness	similar(e,disappointment)	no
cheerfulness	e==enthusiasm	no
cheerfulness	e==thrill	no
cheerfulness	e==hope	no
cheerfulness	e==bravery	no
cheerfulness	e==adore	no
cheerfulness	e==surprise	no
cheerfulness	e==amusement	no
cheerfulness	e==envy	no
cheerfulness	e==melancholy	no
cheerfulness	e==glee	no
cheerfulness	e==admire	no
depression	e.activation==high	no
depression	e.valence==positive	no
depression	directed(e,self)	no
depression	directed(e,otherPerson)	no
depression	e.valence==neutral	no
depression	situation(e,birthday)	maybe
depression	situation(e,waitingInLine)	sometimes
depression	situation(e,friendDied)	yes
depression	necessary(directed(e,otherPerson))	no
depression	similar(e,anger)	not really
depression	e==boredom	no
depression	e==exasperated	no
depression	e==anger	no
depression	e==confusion	no
depression	e==frustration	no
depression	e==melancholy	no
depression	e==shame	no
depression	e==depression	yes
Frustration	e.valence==positive	no
Frustration	e.activation==high	no
Frustration	directed(e,otherPerson)	no
Frustration	e.frequency==regularly	no
Frustration	e.valence==negative	yes
Frustration	unexpected(e)	yes
Frustration	e.valence==neutral	no
Frustration	situation(e,birthday)	no
Frustration	similar(e,disappointment)	yes
Frustration	directed(e,self)	yes
Frustration	e==confusion	no
Frustration	e==boredom	no
Frustration	e==exasperated	no
Frustration	e==anger	no
Frustration	e==devastated	no
Frustration	e==frustration	yes
happiness	directed(e,otherPerson)	no
happiness	e.valence==positive	yes
happiness	e.valence==negative	no
happiness	cause(emptySet,e)	yes
happiness	situation(e,birthday)	yes
happiness	directed(e,self)	no
happiness	cause(e,feelGood)	yes
happiness	associated(e,happiness)	yes
happiness	similar(e,disappointment)	no
happiness	necessary(directed(e,otherPerson))	no
happiness	e==hope	no
happiness	e==bravery	no
happiness	e==melancholy	no
happiness	e==excitement	no
happiness	e==thrill	no
happiness	e==surprise	no
happiness	e==amusement	no
happiness	e==enthusiasm	no
happiness	e==serenity	no
happiness	e==envy	no
happiness	e==admire	no
disappointment	e.valence==positive	no
disappointment	directed(e,otherPerson)	in can be
disappointment	e.valence==negative	yes
disappointment	directed(e,self)	it can be
disappointment	situation(e,birthday)	no
disappointment	unexpected(e)	no
disappointment	similar(e,happiness)	no
disappointment	situation(e,doSomethingStupid)	yes
disappointment	situation(e,sad)	yes
disappointment	e.duration==short	no
disappointment	e==boredom	no
disappointment	e==contempt	no
disappointment	e==anger	no
disappointment	e==confusion	no
disappointment	e==regret	no
disappointment	e==frustration	no
disappointment	e==exasperated	no
disappointment	e==anxiety	no
disappointment	e==jealosy	no
disappointment	e==depression	no
disappointment	e==devastated	no
love	e.valence==positive	ya it might be
love	e.activation==high	no not as much as i have thought
love	e.duration==long	well of course not , its a temporary phase which fades away with time
love	similar(e,surprise)	nope
love	similar(e,happiness)	kind of
love	associated(e,happiness)	to a certain extent
love	cause(otherPerson,e)	of course yes
love	situation(e,birthday)	ya
love	situation(e,disney)	definately
love	directed(e,otherPerson)	yes
love	e==enthusiasm	no
love	e==love	yes
confusion	e.valence==positive	no
confusion	e.duration==long	yes
confusion	directed(e,otherPerson)	no
confusion	e.frequency==regularly	no
confusion	similar(e,surprise)	no
confusion	e.valence==neutral	yes
confusion	situation(e,doSomethingStupid)	no
confusion	associated(e,happiness)	yes
confusion	similar(e,anger)	no
confusion	personalityTrait(e)	no
confusion	e==boredom	no
confusion	e==confusion	yes
embarrassment	e.activation==high	yes
embarrassment	e.duration==long	no
embarrassment	directed(e,otherPerson)	no
embarrassment	cause(e,feelGood)	no
embarrassment	situation(e,waitingInLine)	no
embarrassment	situation(e,birthday)	no
embarrassment	situation(e,helpless)	yes
embarrassment	similar(e,surprise)	no
embarrassment	cause(something,e)	yes
embarrassment	associated(e,happiness)	yes
embarrassment	e==bravery	no
embarrassment	e==enthusiasm	no
embarrassment	e==anxiety	no
embarrassment	e==surprise	no
embarrassment	e==amusement	no
embarrassment	e==relief	no
embarrassment	e==regret	no
embarrassment	e==serenity	no
embarrassment	e==frustration	no
embarrassment	e==happiness	no
embarrassment	e==melancholy	no
fury	e.activation==high	yes
fury	similar(e,sadness)	no
fury	e.valence==neutral	no
fury	directed(e,otherPerson)	usually
fury	e.duration==long	usually
fury	e.valence==negative	yes
fury	directed(e,self)	no
fury	situation(e,betrayal)	possibly, yes
fury	associated(e,irritation)	not really
fury	situation(e,disney)	no
fury	e==dread/hopeless	no
fury	e==enthusiasm	no
fury	e==anger	no
fury	e==embarrassment	no
fury	e==bravery	no
fury	e==grumpiness	no
fury	e==shock	no
fury	e==hope	no
fury	e==helpless	no
fury	e==depression/misery	no
fury	e==terror	no
happiness	e.activation==high	it can be
happiness	directed(e,otherPerson)	no
happiness	e.valence==positive	yes
happiness	directed(e,self)	yes
happiness	similar(e,sadness)	no
happiness	associated(e,happiness)	yes
happiness	similar(e,happiness)	yes
happiness	associated(e,anger)	no
happiness	situation(e,adisney)	yes
happiness	associated(e,embarrassment)	no
happiness	e==relief	no
happiness	e==hope	no
happiness	e==enthusiasm	no
happiness	e==contentment	no
happiness	e==serenity	no
happiness	e==contentment/calm	no
happiness	e==pride	no
happiness	e==thrill	no
happiness	e==amusement	no
happiness	e==hope/feelingLucky	no
happiness	e==apathy/uninterested	no
sadness	directed(e,otherPerson)	yes, possibly
sadness	e.activation==high	it varies
sadness	e.valence==neutral	no
sadness	e.valence==negative	yes
sadness	directed(e,self)	it can be
sadness	e.valence==positive	no
sadness	similar(e,surprise)	no
sadness	similar(e,excitement)	no
sadness	e.frequency==regularly	no
sadness	associated(e,sadness)	yes
sadness	e==guilt	no
sadness	e==anger	no
sadness	e==embarrassment	no
sadness	e==annoyance	no
sadness	e==tiredness	no
sadness	e==dread	no
sadness	e==helpless	no
sadness	e==devastated	no
sadness	e==exasperation	no
sadness	e==envy	no
sadness	e==anxiety	no
cheerfulness	e.valence==positive	yes
cheerfulness	similar(e,sadness)	no
cheerfulness	e.activation==high	not really
cheerfulness	directed(e,self)	no, it's not really directed at anything in particular
cheerfulness	cause(e,feelGood)	yes
cheerfulness	e.duration==long	yes
cheerfulness	situation(e,disney)	yes
cheerfulness	associated(e,sadness)	no
cheerfulness	situation(e,betrayal)	no
cheerfulness	situation(e,birthday)	yes
cheerfulness	e==relief	no
cheerfulness	e==contentment	no
cheerfulness	e==hope	no
cheerfulness	e==enthusiasm	no
cheerfulness	e==calm	no
cheerfulness	e==affection	no
cheerfulness	e==pride	no
cheerfulness	e==thrill	no
cheerfulness	e==bravery	no
cheerfulness	e==serenity	no
cheerfulness	e==satisfaction	no
regret	directed(e,otherPerson)	can be
regret	e.valence==positive	no
regret	e.activation==high	can be
regret	e.valence==negative	yes
regret	similar(e,sadness)	yes
regret	e.frequency==regularly	depends
regret	associated(e,embarrassment)	a little bit
regret	e.valence==neutral	no
regret	associated(e,irritation)	not really
regret	e.duration==short	no
regret	e==guilt	no
regret	e==anger	no
regret	e==embarrassment	no
regret	e==tiredness	no
regret	e==helpless	no
regret	e==disappointed	no
regret	e==exasperation	no
regret	e==envy	no
regret	e==anxiety	no
regret	e==boredom	no
regret	e==depression	no
hope	e.valence==positive	yes
hope	e.activation==high	no
hope	directed(e,otherPerson)	no
hope	directed(e,self)	no
hope	similar(e,anger)	no
hope	similar(e,love)	no
hope	e.duration==short	no
hope	similarity(e,red)>similarity(e,blue)	no
hope	similar(e,surprise)	no
hope	cause(e,feelGood)	yes
hope	e==contentment	no
hope	e==hope	yes
excitement	directed(e,otherPerson)	no
excitement	e.valence==positive	yes
excitement	e.valence==negative	no
excitement	e.valence==neutral	no
excitement	similar(e,happiness)	a little bit
excitement	associated(e,happiness)	yes
excitement	similarity(e,anger)>similarity(e,sadness)	no
excitement	cause(e,feelGood)	yes
excitement	associated(e,sadness)	no
excitement	cause(something,e)	no, not necessarily
excitement	e==relief	no
excitement	e==hope	no
excitement	e==bravery	no
excitement	e==enthusiasm	yes
Happiness	e.activation==high	it varies
Happiness	directed(e,otherPerson)	it can be
Happiness	e.valence==positive	yes
Happiness	e.frequency==regularly	possibly
Happiness	e.valence==neutral	no
Happiness	e.duration==long	it can
Happiness	hasExternalExpression(e)	yes
Happiness	associated(e,sadness)	no
Happiness	similar(e,surprise)	maybe
Happiness	associated(e,otherPerson)	it could
Happiness	e==relief	no
Happiness	e==hope	no
Happiness	e==enthusiasm	no
Happiness	e==contentment	no
Happiness	e==affection	no
Happiness	e==pride	no
Happiness	e==thrill	no
Happiness	e==cheerfulness	yes
sadness	similar(e,sadness)	yes
sadness	e.activation==high	yes, possibly
sadness	e.valence==neutral	no
sadness	e.frequency==regularly	no
sadness	similar(e,anger)	no
sadness	associated(e,otherPerson)	no, not necessarily
sadness	hasExternalExpression(e)	yes
sadness	associated(e,embarrassment)	no
sadness	e.duration==short	no
sadness	directed(e,otherPerson)	no
sadness	e==guilt	no
sadness	e==cheerfulness	no
sadness	e==bravery	no
sadness	e==shyness	no
sadness	e==tiredness	no
sadness	e==hope	no
sadness	e==helpless	no
sadness	e==disappointed	no
sadness	e==relief	no
sadness	e==exasperation	no
sadness	e==serenity	no
sadness	e.activation==high	yes
sadness	similar(e,sadness)	yes
sadness	e.valence==positive	no
sadness	similar(e,anger)	no
sadness	cause(e,feelGood)	no
sadness	associated(e,sadness)	yes
sadness	cause(emptySet,e)	sometimes but not usually
sadness	associated(e,irritation)	no
sadness	situation(e,betrayal)	yes
sadness	associated(e,disappointment)	yes
sadness	e==annoyance	no
sadness	e==embarrassment	no
sadness	e==envy	no
sadness	e==apathy	no
sadness	e==anxiety	no
sadness	e==guilt	no
sadness	e==jealousy	no
sadness	e==disgust	no
sadness	e==worry	no
sadness	e==relief	no
sadness	e==dread	no
happiness	similar(e,sadness)	no
happiness	e.valence==positive	yes
happiness	similar(e,anger)	no
happiness	directed(e,self)	no
happiness	cause(emptySet,e)	yes
happiness	e.valence==neutral	no
happiness	associated(e,embarrassment)	no
happiness	associated(e,sadness)	no
happiness	associated(e,anger)	no
happiness	similar(e,surprise)	no
happiness	e==anger	no
happiness	e==relief	no
happiness	e==proud	no
happiness	e==affection	no
happiness	e==serenity	no
happiness	e==bravery	no
happiness	e==surprise	no
happiness	e==confusion	no
happiness	e==tiredness	no
happiness	e==hope	no
happiness	e==amusement	no
resentment	e.valence==positive	no
resentment	e.activation==high	yes
resentment	directed(e,otherPerson)	yes, usually
resentment	cause(emptySet,e)	no
resentment	e.valence==neutral	no
resentment	e.duration==long	yes
resentment	similarity(e,anger)>similarity(e,sadness)	yes
resentment	similar(e,anger)	kind of
resentment	associated(e,irritation)	yes
resentment	cause(e,feelGood)	no
resentment	e==envy	no
resentment	e==guilt	no
resentment	e==disgust	no
resentment	e==embarrassment	no
resentment	e==annoyance	no
resentment	e==apathy	no
resentment	e==jealousy	no
resentment	e==anxiety	no
resentment	e==dread	no
resentment	e==hope	no
resentment	e==worry	no
fear	situation(e,prepareForScreening)	yes
fear	experienceWith(e,friends)	no
fear	similar(e,informed)||similar(e,vigilant)	no
fear	situation(e,tryToObtainSthFromOtherPerson)	no
fear	similar(e,regret)	no
fear	situation(e,haveGrudge)	no
fear	similar(e,faith)||similar(e,trust)	no
fear	associated(e,goodKarma)	no
